artist,year,lyrics,recognized,name,topic1,topic2,decade,id,song_hash
Freda Payne,1970,"Now that you're gone,

All that's left is a band of gold

All that's left of the dreams I hold

Is a band of gold

And the memories of what love could be

If you were still here with me



You took me from the shelter of my mother

I had never known or loved any other

We kissed after taking vows

But that night on our honeymoon,

We stayed in separate rooms



I wait in the darkness of my lonely room

Filled with sadness, filled with gloom

Hoping soon

That you'll walk back through that door

And love me like you tried before



Since you've been gone,

All that's left is a band of gold

All that's left of the dreams I hold

Is a band of gold

And the dream of what love could be

If you were still here with me



INSTRUMENTAL BRIDGE



Ohhhhhhhhhhhhhh



Don't you know that I wait

In the darkness of my lonely room

Filled with sadness, filled with gloom

Hoping soon

That you'll walk back through that door

And love me like you tried before



Since you've been gone,

All that's left is a band of gold

All that's left of the dreams I hold

Is a band of gold

And the dream of what love could be

If you were still here with me

(repeat and fade out)",0,Band of Gold,Love (devotion),Break-up (heartbreak),2010,10,Band of GoldFreda Payne
Janis Joplin,1971,"Busted flat in Baton Rouge, waiting for a train
And I am feeling near as faded as my jeans.
Bobby thumbed a diesel down just before it rained,
It rode us all the way to New Orleans.
I pulled my harpoon out of my dirty red bandanna,
I was playing soft while Bobby sang the blues.
Windshield wipers slapping time, I was holding Bobby?s hand in mine,
We sang every song that driver knew.
Freedom is just another word for nothing left to lose,
Nothing don?t mean nothing honey if it ain?t free, now now.
And feeling good was easy, Lord, when he sang the blues,
You know feeling good was good enough for me,
Good enough for me and my Bobby McGee.
From the Kentucky coal mines to the California sun,
Hey, Bobby shared the secrets of my soul.
Through all kinds of weather, through everything that we done,
Hey Bobby baby kept me from the cold.
One day up near Salinas, Lord, I let him slip away,
He?s looking for that home and I hope he finds it,
But I?d trade all of my tomorrows for one single yesterday
To be holding Bobby?s body next to mine.
Freedom is just another word for nothing left to lose,
Nothing, that?s all that Bobby left me, yeah,
But feeling good was easy, Lord, when he sang the blues,
Hey, feeling good was good enough for me, hmm hmm,
Good enough for me and my Bobby McGee.
La la la, la la la la, la la la, la la la la
La la la la la Bobby McGee.
La la la la la, la la la la la
La la la la la, Bobby McGee, la.
La La la, la la la la la la,
La La la la la la la la la, hey now Bobby now Bobby McGee yeah.
Na na na na na na na na, na na na na na na na na na na na
Hey now Bobby now, Bobby McGee, yeah.
Lord, I?m calling my lover, calling my man,
I said I?m calling my lover just the best I can,
C?mon, where is Bobby now, where is Bobby McGee, yeah,
Lordy Lordy Lordy Lordy Lordy Lordy Lordy Lord
Hey, hey, hey, Bobby McGee, Lord!
Yeah! Whew!
Lordy Lordy Lordy Lordy Lordy Lordy Lordy Lord
Hey, hey, hey, Bobby McGee.",0,Me and Bobby McGee,Desire (love/flirting),Love (devotion),1970,11,Me and Bobby McGeeJanis Joplin
Bill Withers,1972,"Sometimes, in our lives 
We all have pain, we all have sorrow 
But, if we are wise 
We know that there's always tomorrow 
Lean on me, when you're not strong 

And I'll be your friend, I'll help you carry on 

For, it won't be long 

Til I'm gonna need somebody to lean on 



Please swallow your pride 

If I have things you need to borrow 

For no one can fill 

Those of your needs that you won't let show 



You just call on me brother when you need a hand 

We all need somebody to lean on 

I just might have a problem that you'll understand 

We all need somebody to lean on 



Lean on me, when you're not strong 

And I'll be your friend, I'll help you carry on 

For, it won't be long 

Til I'm gonna need somebody to lean on 



You just call on me brother when you need a hand 

We all need somebody to lean on 

I just might have a problem that you'll understand 

We all need somebody to lean on 



If there is a load 

You have to bear, that you can't carry 

I'm right up the road 

I'll share your load if you just call me 

Call me if you need a friend 

Call me ...",0,Lean on Me,Friendship,Struggle (mental health/societal issue),2000,12,Lean on MeBill Withers
Carly Simon,1973,"You walked into the party like you were walking onto a yacht

Your hat strategically dipped below one eye

Your scarf it was apricot

You had one eye on the mirror as you watched yourself gavotte

And all the girls dreamed that they'd be your partner

They'd be your partner, and...



You're so vain, you probably think this song is about you

You're so vain, I'll bet you think this song is about you

Don't you? Don't You?



You had me several years ago when I was still quite naive

Well you said that we made such a pretty pair

And that you would never leave

But you gave away the things you loved and one of them was me

I had some dreams, they were clouds in my coffee

Clouds in my coffee, and...



I had some dreams they were clouds in my coffee

Clouds in my coffee, and...

Well I hear you went up to Saratoga and your horse naturally won

Then you flew your lear jet up to Nova Scotia

To see the total eclipse of the sun

Well you're where you should be all the time

And when you're not you're with

Some underworld spy or the wife of a close friend

Wife of a close friend, and...",0,You're So Vain,Break-up (heartbreak),Struggle (mental health/societal issue),2010,13,You're So VainCarly Simon
Elton John,1974,"Hey kids, shake it loose together

The spotlight's hitting something

That's been known to change the weather

We'll kill the fatted calf tonight

So stick around

You're gonna hear electric music

Solid walls of sound



Say, Candy and Ronnie, have you seen them yet

But they're so spaced out, Bennie and the Jets

Oh but they're weird and they're wonderful

Oh Bennie she's really keen

She's got electric boots a mohair suit

You know I read it in a magazine

Bennie and the Jets



Hey kids, plug into the faithless

Maybe they're blinded

But Bennie makes them ageless

We shall survive, let us take ourselves along

Where we fight our parents out in the streets

To find who's right and who's wrong



Oh, Candy and Ronnie, have you seen them yet

But they're so spaced out, Bennie and the Jets

Oh but they're weird and they're wonderful

Oh Bennie she's really keen

She's got electric boots a mohair suit

You know I read it in a magazine

Bennie and the Jets



Oh, Candy and Ronnie, have you seen them yet

But they're so spaced out, Bennie and the Jets

Oh but they're weird and they're wonderful

Oh Bennie she's really keen

She's got electric boots a mohair suit

You know I read it in a magazine

Bennie and the Jets



Bennie, Bennie and the Jets

Bennie, Bennie, Bennie, Bennie and the jets

Bennie, Bennie, Bennie, Bennie, Bennie and the jets

Bennie, Bennie, Bennie, Bennie and the jets

Bennie, Bennie and the jets",0,Bennie and the Jets,Dancing (clubbing/happy),Other,1970,14,Bennie and the JetsElton John
Neil Sedaka,1975,"Strolling along country roads with my baby

It starts to rain, it begins to pour

Without an umbrella we're soaked to the skin

I feel a shiver run up my spine

I feel the warmth of her hand in mine

Ooooo, I hear laughter in the rain

Walking hand in hand with the one I love

Ooooo, how I love the rainy days

And the happy way I feel inside



After a while we run under a tree

I turn to her and she kisses me

There with the beat of the rain on the leaves

Softly she breathes and I close my eyes

Sharing our love under stormy skies



Ooooo, I hear laughter in the rain

Walking hand in hand with the one I love

Ooooo, how I love the rainy days

And the happy way I feel inside

I feel the warmth of her hand in mine



[Musical Interlude]



I feel the warmth of her hand in mine

Ooooo, I hear laughter in the rain

Walking hand in hand with the one I love

Ooooo, how I love the rainy days

And the happy way I feel inside

Ooooh, I hear laughter in the rain

Walking hand in hand with the one I love

Ooooo, how I love the rainy days

And the happy way I feel inside",0,Laughter in the Rain,Love (devotion),Friendship,1980,15,Laughter in the RainNeil Sedaka
Starland Vocal Band,1976,"Gonna find my baby, gonna hold her tight

Gonna grab some afternoon delight

My motto's always been 'when it's right, it's right'

Why wait until the middle of a cold dark night?

When everything's a little clearer in the light of day

And we know the night is always gonna be there any way



Thinkin' of you's workin' up my appetite

Looking forward to a little afternoon delight

Rubbin' sticks and stones together makes the sparks ingite

And the thought of lovin' you is getting so exciting

Sky rockets in flight

Afternoon delight

Afternoon delight

Afternoon delight



Started out this morning feeling so polite

I always though a fish could not be caught who wouldn't bite

But you've got some bait a waitin' and I think I might try nibbling

A little afternoon delight

Sky rockets in flight

Afternoon delight

Afternoon delight

Afternoon delight



Please be waiting for me, baby, when I come around

We could make a lot of lovin' 'for the sun goes down



Thinkin' of you's workin' up my appetite

Looking forward to a little afternoon delight

Rubbin' sticks and stones together makes the sparks ingite

And the thought of lovin' you is getting so exciting

Sky rockets in flight

Afternoon delight

Afternoon delight

Afternoon delight



Afternoon delight!",0,Afternoon Delight,Desire (love/flirting),Other,1970,16,Afternoon DelightStarland Vocal Band
Mary MacGregor,1977,"There are times when a woman

has to say what's on her mind

eventhough she knows how much its gonna hurt

Before I say another word

let me tell you, I love you

let me hold you close and say these words

as gently as I can



There's been another man

that I've meeted and I love

But that doesn't mean I love you less

And he knows he can't posses me

and he knows he never will

Is just this empty place inside of me

That only he can fill



Torn between two lovers

feelin like a fool

Loving both of you

Is breaking all the rules

Torn between two lovers

feelin like a fool

Loving you both is breaking all the rules



You musn't think you failed me

just because there's someone else

you were the first real love I've ever had

And all the things I ever said

I swear they still are true

For no one else can have the part of me I gave to you



Torn between two lovers

feelin like a fool

Loving both of you

Is breaking all the rules

Torn between two lovers

feelin like a fool

Loving you both is breaking all the rules



Couldn't really blame you

if you turn and walk away

But with everything I feel inside

I'm asking you to stay



Torn between two lovers

feelin like a fool

Loving both of you

Is breaking all the rules

Torn between two lovers

feelin like a fool

Loving you both is breaking all the rules",0,Torn Between Two Lovers,Love (devotion),Struggle (mental health/societal issue),1970,17,Torn Between Two LoversMary MacGregor
Player,1978,"Spending all my nights, 
All my money going out on the town

Doing anything just to get you off of my mind

But when the morning comes,

I'm right back where I started again

Trying to forget you is just a waste of time



Baby come back, any kind of fool could see

There was something in everything about you

Baby come back, you can blame it all on me

I was wrong, and I just can't live without you



All day long, wearing a mask of false bravado

Trying to keep up the smile that hides a tear

But as the sun goes down, I get that empty feeling again

How I wish to God that you were here



Baby come back, any kind of fool could see

There was something in everything about you

Baby come back, you can blame it all on me

I was wrong, and I just can't live without you



Now that I put it all together

Give me the chance to make you see

Have you used up all the love in your heart

Nothing left for me, ain't there nothing left for me



Baby come back, any kind of fool could see

There was something in everything about you

Baby come back, you can blame it all on me

I was wrong, and I just can't live without you



I was wrong, and I just can't live",0,Baby Come Back,Break-up (heartbreak),Struggle (mental health/societal issue),1970,18,Baby Come BackPlayer
Anita Ward,1979,"I'm glad you're home

Well, did you really miss me?

I guess you did by the look in your eye (look in your eye, look in your eye)

Well lay back and relax while I put away the dishes

Then you and me can rock a bell

You can ring my be-e-ell, ring my bell

You can ring my be-e-ell, ring my bell

You can ring my be-e-ell, ring my bell

You can ring my be-e-ell, ring my bell



The night is young and full of possibilities

Well come on and let yourself be free

My love for you, so long I've been savin'

Tonight was made for me and you



You can ring my be-e-ell, ring my bell (ring my bell, ding-dong-ding)

You can ring my be-e-ell, ring my bell (ring my bell, ring-a-ling-a-ling)

You can ring my be-e-ell, ring my bell (ring my bell, ding-dong-ding)

You can ring my be-e-ell, ring my bell (ring my bell, ring-a-ling-a-ling)



(you can ring my bell, you can ring my bell

ding, dong, ding, ah-ah, ring it!

you can ring my bell, anytime, anywhere

ring it, ring it, ring it, ring it, oww!

you can ring my bell, you can ring my bell

ding, dong, ding, ah-ah, ring it!

you can ring my bell, anytime, anywhere

ring it, ring it, ring it, ring it, oww!)



You can ring my be-e-ell, ring my bell (ring my bell, ding-dong-ding)

You can ring my be-e-ell, ring my bell (ring my bell, ring-a-ling-a-ling)

You can ring my be-e-ell, ring my bell (ring my bell, ding-dong-ding)

You can ring my be-e-ell, ring my bell (ring my bell, ring-a-ling-a-ling)",0,Ring My Bell,Desire (love/flirting),Love (devotion),1970,19,Ring My BellAnita Ward
Billy Joel,1980,"What's the matter with the clothes I'm wearing?

\""Can't you tell that your tie's too wide?\""

Maybe I should buy some old tab collars?

\""Welcome back to the age of jive.

Where have you been hidin' out lately, honey?

You can't dress trashy till you spend a lot of money.\""

Everybody's talkin' 'bout the new sound

Funny, but it's still rock and roll to me



What's the matter with the car I'm driving?

\""Can't you tell that it's out of style?\""

Should I get a set of while wall tires?

\""Are you gonna cruise the miracle mile?

Nowadays you can't be too sentimental

Your best bet's a true baby blue Continental.\""

Hot funk, cool punk, even if it's old junk

It's still rock and roll to me



Oh, it doesn't matter what they say in the papers

'Cause it's always been the same old scene.

There's a new band in town

But you can't get the sound from a story in a magazine...

Aimed at your average teen



How about a pair of pink sidewinders

And a bright orange pair of pants?

\""You could really be a Beau Brummel baby

If you just give it half a chance.

Don't waste your money on a new set of speakers,

You get more mileage from a cheap pair of sneakers.\""

Next phase, new wave, dance craze, anyways

It's still rock and roll to me



What's the matter with the crowd I'm seeing?

\""Don't you know that they're out of touch?\""

Should I try to be a straight `A' student?

\""If you are then you think too much.

Don't you know about the new fashion honey?

All you need are looks and a whole lotta money.\""

It's the next phase, new wave, dance craze, anyways

It's still rock and roll to me



Everybody's talkin' 'bout the new sound

Funny, but it's still rock and roll to me",0,It's Still Rock and Roll to Me,Money (power/flexing),Motivation (independance/confidence),1990,20,It's Still Rock and Roll to MeBilly Joel
Dolly Parton,1981,"Tumble outta bed

And I stumble to the kitchen

Pour myself a cup of ambition

And yawn and stretch

And try to come to life

Jump in the shower

And the blood starts pumpin'

Out on the street

The traffic starts jumpin'

The folks like me on the job from 9 to 5



Workin' 9 to 5,

What a way to make a livin'

Barely gettin' by

It's all takin' and no givin'

They just use your mind

And they never give you credit

It's enough to drive you crazy

If you let it

9 to 5, for service and devotion

You would think that I

Would deserve a fat promotion

Want to move ahead

But the boss won't seem to let me

I swear sometimes that man is out to get me



They let you dream

Just to watch 'em shatter

You're just a step

On the boss-man's ladder

But you got dreams

He'll never take away

You're in the same boat

With a lotta your friends

Waitin' for the day your ship'll come in

'N' the tide's gonna turn

And it's all gonna roll your way



Workin' 9 to 5

What a way to make a livin'

Barely gettin' by

It's all takin' and no givin'

They just use your mind

And you never get the credit

It's enough to drive you crazy

If you let it

9 to 5, yeah

They got you where they want you

There's a better life

And you think about it, don't you

It's a rich man's game

No matter what they call it

And you spend your life

Puttin' money in his wallet



9 to 5, whoa

What a way to make a livin'

Barely gettin' by

It's all takin' and no givin'

They just use your mind

And they never give you credit

It's enough to drive you crazy

If you let it



9 to 5, yeah

They got you where they want you

There's a better life

And you dream about it, don't you

It's a rich man's game

No matter what they call it",0,9 To 5,Motivation (independance/confidence),Struggle (mental health/societal issue),2000,21,9 To 5Dolly Parton
Chicago,1982,"Everybody needs a little time away

I heard her say, from each other

Even lovers need a holiday

Far away from each other

Hold me now

It's hard for me to say I'm sorry

I just want you to stay



After all that we've been through

I will make it up to you

I promise to

And after all that's been said and done

You're just a part of me I can't let go



Couldn't stand to be kept away

Just for the day, from your body

Wouldn't want to be swept away

Far away from the one that I love



Hold me now

It's hard for me to say I'm sorry

I just want you to know

Hold me now

I really want to tell you I'm sorry

I could never let you go



After all that we've been through

I will make it up to you

I promise to

And after all that's been said and done

You're just a part of me I can't let go

And after all that we've been through

I will make it up to you

I promise to...You're gonna be the lucky one",0,Hard to Say I'm Sorry,Love (devotion),Break-up (heartbreak),1980,22,Hard to Say I'm SorryChicago
Patti Austin,1983,"Thinkin' back in time

When love was only in my mind, I realize

Ain't no second chance

You've got to hold on to romance

Don't let it slide

There's a special kind of magic in the air

When you find another heart that needs to share



Baby, come to me

Let me put my arms around you

This was meant to be

And I'm oh so glad I found you

Need you every day

Gotta have your love around me

Baby, always stay

'Cause I can't go back to livin' without you



Spendin' every dime to keep you talkin' on the line

That's how it was

And all those walks together out in any kind of weather

Just because

There's a brand new way of looking at your life

When you know that love is standing by your side



Baby, come to me

Let me put my arms around you

This was meant to be

And I'm oh so glad I found you

Need you every day

Gotta have your love around me

Baby, always stay

Cause I can't go back to livin' without you



The nights can be cold

There's a chill to every evening when you're all alone

Don't talk anymore

'Cause you know that I'll be here to keep you warm

Oh, darling, keep me warm



Baby, come to me (Come to me)

Let me put my arms around you

This was meant to be

And I'm oh so glad I found you

Need you every day (Every day)

Gotta have your love around me (I gotta have you)

Baby, always stay

'Cause I can't go back to livin' without you

Come to me (Let me put my arms around you)

Let me put my arms around you (Hey!)

This was meant to be

And I'm oh so glad I found you (I need you every day, baby)

Need you every day (Gotta have)

Gotta have your love around me

Baby, always stay (Oh, I want you to stay)

'Cause I can't go back to livin' without you

Come to me (Come to me)

Let me put my arms around you

This was meant to be (Let me love you, baby)

And I'm oh so glad I found you (Glad that I found you)

Need you every day (Got to have you)

Gotta have your love around me

Baby, always stay (Oh, always stay)

'Cause I can't go back to livin' without you",0,"Baby, Come to Me",Love (devotion),Other,2000,23,"Baby, Come to MePatti Austin"
Lionel Richie,1984,"I've been alone with you

Inside my mind

And in my dreams I've kissed your lips

A thousand times

I sometimes see you

Pass outside my door

Hello!

Is it me you're looking for?

I can see it in your eyes

I can see it in your smile

You're all I've ever wanted

And my arms are open wide

Cause you know just what to say

And you know just what to do

And I want to tell you so much

I love you



I long to see the sunlight in your hair

And tell you time and time again

How much I care

Sometimes I feel my heart will overflow

Hello!

I've just got to let you know

Cause I wonder where you are

And I wonder what you do

Are you somewhere feeling lonely?

Or is someone loving you?

Tell me how to win your heart

For I haven't got a clue

But let me start by saying I love you



Hello!

Is it me you're looking for?

Cause I wonder where you are

And I wonder what you do

Are you somewhere feeling lonely?

Or is someone loving you?

Tell me how to win your heart

For I haven't got a clue

But let me start by saying I love you",0,Hello,Desire (love/flirting),Love (devotion),2000,24,HelloLionel Richie
Madonna,1985,"Swaying room as the music starts

Strangers making the most of the dark

Two by two their bodies become one

I see you through the smokey air

Can't you feel the weight of my stare

You're so close but still a world away

What I'm dying to say, is that



Chorus:



I'm crazy for you

Touch me once and you'll know it's true

I never wanted anyone like this

It's all brand new, you'll feel it in my kiss

I'm crazy for you, crazy for you



Trying hard to control my heart

I walk over to where you are

Eye to eye we need no words at all



Slowly now we begin to move

Every breath I'm deeper into you

Soon we two are standing still in time

If you read my mind, you'll see



(chorus)



It's all brand new, I'm crazy for you

And you know it's true

I'm crazy, crazy for you",0,Crazy for You,Desire (love/flirting),Love (devotion),1980,25,Crazy for YouMadonna
